2theta_deg,relative_intensity_au,sample
20.88235294,125,Granite Waste
21.05882353,125,Granite Waste
21.23529412,125,Granite Waste
21.41176471,187.5,Granite Waste
21.58823529,187.5,Granite Waste
21.76470588,125,Granite Waste
21.94117647,62.5,Granite Waste
22.11764706,62.5,Granite Waste
22.29411765,62.5,Granite Waste
22.47058824,93.75,Granite Waste
22.64705882,125,Granite Waste
22.82352941,62.5,Granite Waste
23,62.5,Granite Waste
23.17647059,62.5,Granite Waste
23.35294118,62.5,Granite Waste
23.52941176,125,Granite Waste
23.70588235,62.5,Granite Waste
23.88235294,62.5,Granite Waste
24.05882353,62.5,Granite Waste
24.23529412,62.5,Granite Waste
24.41176471,125,Granite Waste
24.58823529,187.5,Granite Waste
24.76470588,62.5,Granite Waste
24.94117647,0,Granite Waste
25.11764706,31.25,Granite Waste
25.29411765,62.5,Granite Waste
25.47058824,62.5,Granite Waste
25.64705882,125,Granite Waste
25.82352941,125,Granite Waste
26,125,Granite Waste
26.17647059,125,Granite Waste
26.35294118,250,Granite Waste
26.52941176,750,Granite Waste
26.70588235,1000,Granite Waste
26.88235294,312.5,Granite Waste
27.05882353,218.75,Granite Waste
27.23529412,156.25,Granite Waste
27.41176471,125,Granite Waste
27.58823529,62.5,Granite Waste
27.76470588,62.5,Granite Waste
27.94117647,62.5,Granite Waste
28.11764706,62.5,Granite Waste
28.29411765,62.5,Granite Waste
28.47058824,62.5,Granite Waste
28.64705882,62.5,Granite Waste
28.82352941,125,Granite Waste
29,187.5,Granite Waste
29.17647059,125,Granite Waste
29.35294118,62.5,Granite Waste
29.52941176,0,Granite Waste
29.70588235,0,Granite Waste
29.88235294,62.5,Granite Waste
30.05882353,0,Granite Waste
30.23529412,31.25,Granite Waste
30.41176471,62.5,Granite Waste
30.58823529,62.5,Granite Waste
30.76470588,62.5,Granite Waste
30.94117647,62.5,Granite Waste
31.11764706,62.5,Granite Waste
31.29411765,62.5,Granite Waste
31.47058824,62.5,Granite Waste
31.64705882,125,Granite Waste
31.82352941,187.5,Granite Waste
32,62.5,Granite Waste
32.17647059,62.5,Granite Waste
32.35294118,0,Granite Waste
32.52941176,62.5,Granite Waste
32.70588235,62.5,Granite Waste
32.88235294,0,Granite Waste
33.05882353,31.25,Granite Waste
33.23529412,31.25,Granite Waste
33.41176471,31.25,Granite Waste
33.58823529,62.5,Granite Waste
33.76470588,62.5,Granite Waste
33.94117647,62.5,Granite Waste
34.11764706,125,Granite Waste
34.29411765,125,Granite Waste
34.47058824,125,Granite Waste
34.64705882,250,Granite Waste
34.82352941,250,Granite Waste
35,125,Granite Waste
35.17647059,62.5,Granite Waste
35.35294118,62.5,Granite Waste
35.52941176,0,Granite Waste
35.70588235,0,Granite Waste
35.88235294,62.5,Granite Waste
36.05882353,62.5,Granite Waste
36.23529412,0,Granite Waste
36.41176471,0,Granite Waste
36.58823529,62.5,Granite Waste
36.76470588,62.5,Granite Waste
36.94117647,0,Granite Waste
37.11764706,62.5,Granite Waste
37.29411765,62.5,Granite Waste
37.47058824,93.75,Granite Waste
37.64705882,187.5,Granite Waste
